Population,sample.id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
EUR,HG00120,-0.0114793991619805,0.0243619074240915,0.00572996638939962,-0.0219562639917864,0.00113336612069429,-0.00668079447530525,-0.00980976460823794,-0.00599043950165528,-0.00494615830062312,0.00764901974902437,-0.000557942098314822,0.000641252874775867,-0.0216504537127018,-0.00437852813277086,-0.00454041092196974,-0.000703965317252672,-0.0045193548029673,0.00659691915734714,-0.00969988143391786,-0.000428937972541441
EUR,HG00121,-0.0122641964597303,0.023071944122782,0.00289192982539475,-0.0180380174707693,0.000382787111017344,-0.015329130314978,-0.0329156820615332,-0.0060778450723018,0.00122456633179375,0.00346905293696629,0.00569534062249575,0.00131587536118803,0.000320058303999489,-0.00253999052048056,-0.00507157162794056,0.000485499911733253,-0.000284294362985856,-0.00692182809857716,0.00467308399628545,-0.00470262369642786
EUR,HG00122,-0.0108200864273284,0.022538931636345,0.00493398304754669,-0.0165776261993084,-4.02454000489055e-05,-0.000960969585727052,-0.0174368660200905,-0.0027956725685648,-0.00427795346767659,0.00388442889599064,-0.00259565886804899,-0.00238494028152393,0.00224681822807285,0.00451653901729491,0.00145332424518478,-0.00376799807164029,-0.00111391901244184,-0.00225176921204737,-0.0035972236611933,0.00604812805190823
EUR,HG00123,-0.0104483359384031,0.0239825586264968,0.00266021434300936,-0.021736969796394,-0.000184285667156222,-0.0153535886503633,-0.0350633250619466,-0.00559849684219065,-0.00459041955690331,0.0112022236536455,-0.00044283719643307,0.00188439199723787,0.00737887330112601,0.000776394446019362,0.00156054931902168,-0.00445779471193836,-0.00430433011291685,-0.00132929497876159,-0.00188039002798985,-0.00037845108968595
EUR,HG00125,-0.0113136214694962,0.0242229277182041,0.00321885657023071,-0.0227630819159611,-0.00105143726928979,-0.0117062694994327,-0.0415553545672802,-0.0114156349552825,-0.00610416650901402,0.00558587143872146,0.00202362377316365,-0.00179649858501686,0.0112628187766172,0.00544131003991096,-0.000594957757961223,-0.000548722207902277,-0.00390963904663766,-0.00426530132651949,0.00349021660503333,0.000815110266714444
EUR,HG00126,-0.0110319228047601,0.0261006515767268,0.00484948674948896,-0.0250978711975217,-0.00121682980428304,-0.00680957928457765,-0.0149692174637543,-0.00381148804515937,-0.0121884305553381,0.00126855043277367,0.00232122126659334,0.00618061633609179,0.00444454716611443,0.000132201759733852,0.000123608223937549,-0.00149663649981779,-0.00112838017957441,0.00748114507018238,0.0033415003328414,-0.00435285564928772
EUR,HG00127,-0.0115452952913629,0.0246828865331159,0.00529879068385582,-0.0198531536001804,0.000449841957083627,-0.00738775039478079,-0.0256629537350346,-0.00789816493986153,0.000375487179604318,0.0093982039452467,-0.00159815390080715,0.00395905625564118,-0.00594648636089606,-0.00160384456722403,0.0065223747880774,-0.00013574285445834,0.00401554699234204,-0.00236417221598806,-0.00057801504123876,0.00576053284815566
EUR,HG00128,-0.0115837603759337,0.0253765674518363,0.00394061520821533,-0.0199191210007277,0.00274389359212929,-0.00215994485129056,-0.0230293708042766,-0.00813514536873115,-0.00806217905766791,0.0034649429198768,0.000766739384938663,-0.00327093005207532,-0.00113891085833,-0.00306145786449188,0.00142713776883891,0.00106774088665178,-0.000470022145159509,-0.00463404040036262,0.000242120675733039,0.000575004423735314
EUR,HG00129,-0.0109654177200398,0.0223427711795829,0.00516479583957999,-0.0173997613063871,0.00149512482463796,-0.0111938161036004,-0.0295524858725196,-0.00742731967562937,-0.0026135084102252,0.00768705212546595,0.00353519507632325,-0.000260585550912604,0.00863246034250843,-0.00650635291103574,0.00407720590650874,0.00595356496052846,-0.00116818816818417,-0.0075538109315101,-0.00112296635978259,-0.00204561287689469
EUR,HG00130,-0.0117596934268069,0.024548149548407,0.00347538031080104,-0.0191069674876074,0.000869185997153447,-0.00168979128370587,-0.00870066795752432,-0.00118045397069557,-0.00245659639553565,-0.000115650811928036,0.000208104463671817,0.00161680798218336,-0.00528877591882241,-0.0032632454281019,-0.001122601533682,0.000428776195070949,-0.00480156162320448,-0.00118521552522306,-0.00581144388194528,-0.000502164895370047
EUR,HG00131,-0.011439100014406,0.0270331154767037,0.00382093877444754,-0.026385920516097,-0.00093851682752193,-0.00872244829771727,-0.0159607805038637,-0.00592101549018443,-0.00451661907927346,0.00142866214456158,-0.00101313764695743,-0.000400067102535522,0.00100103605033604,-0.00701214343331892,-0.0139944627320187,0.0059220532904449,-0.00284003300019823,-0.000715441338851794,0.00567348973370313,0.00259874766138155
EUR,HG00132,-0.0115409853371447,0.0253303073438875,0.00698089227247879,-0.0208027642430871,0.000191476267796637,-0.00475251473823846,-0.0111101981114788,-0.00066287699396871,-0.00399623881078874,-1.0851231355339e-05,0.00845354833451695,-0.00267150320562583,-0.022182021353354,-0.00087966490899156,-0.00423168709799302,0.00770843879269776,0.0074976238482117,-0.00203624123893837,-0.0089573110951143,-0.000313606209440488
