K,scenario,fpr,method,mean
5,1,0.007,ggmixFPR,0.6984426286095483
5,1,0.008,pglmmFPR,0.7606133625874424
5,1,0.008,glmnetFPR,0.7273187623587448
5,1,0.008,glmnetPCFPR,0.7369006076245276
5,1,0.008,ggmixFPR,0.7001184008993411
5,1,0.009,pglmmFPR,0.7612682427583075
5,1,0.009,glmnetFPR,0.7301853119033764
5,1,0.009,glmnetPCFPR,0.7379863114768432
5,1,0.009,ggmixFPR,0.701494919497945
5,1,0.01,pglmmFPR,0.762138006475123
5,1,0.01,glmnetFPR,0.7324784033197193
5,1,0.01,glmnetPCFPR,0.7390845547169361
5,1,0.01,ggmixFPR,0.7030771170076165
5,2,0.0,pglmmFPR,0.7271425559968001
5,2,0.0,glmnetFPR,0.6305326332447114
5,2,0.0,glmnetPCFPR,0.7048307236424766
5,2,0.0,ggmixFPR,0.6892147084569088
5,2,0.001,pglmmFPR,0.7700204461043253
5,2,0.001,glmnetFPR,0.7166499450517442
5,2,0.001,glmnetPCFPR,0.7650311584310302
5,2,0.001,ggmixFPR,0.7453200954527207
5,2,0.002,pglmmFPR,0.7812671263108127
5,2,0.002,glmnetFPR,0.749151316802579
5,2,0.002,glmnetPCFPR,0.7769914094534429
5,2,0.002,ggmixFPR,0.7592579016618057
5,2,0.003,pglmmFPR,0.786344027563328
5,2,0.003,glmnetFPR,0.7643512518568122
5,2,0.003,glmnetPCFPR,0.7826856172373086
5,2,0.003,ggmixFPR,0.7653814321171396
5,2,0.004,pglmmFPR,0.78990354717357
5,2,0.004,glmnetFPR,0.7737949008640628
5,2,0.004,glmnetPCFPR,0.7867702224875182
5,2,0.004,ggmixFPR,0.7694813879952344
5,2,0.005,pglmmFPR,0.7925663761941445
5,2,0.005,glmnetFPR,0.7803463176493958
5,2,0.005,glmnetPCFPR,0.7897264609948842
5,2,0.005,ggmixFPR,0.77271462837086
5,2,0.006,pglmmFPR,0.7953771655588365
5,2,0.006,glmnetFPR,0.7847021150632315
5,2,0.006,glmnetPCFPR,0.791359039867386
5,2,0.006,ggmixFPR,0.7747862978163533
5,2,0.007,pglmmFPR,0.7965062232187339
5,2,0.007,glmnetFPR,0.7881043700777276
5,2,0.007,glmnetPCFPR,0.7933135952428717
5,2,0.007,ggmixFPR,0.7763969928618621
5,2,0.008,pglmmFPR,0.7981093124327256
5,2,0.008,glmnetFPR,0.7906507598243547
5,2,0.008,glmnetPCFPR,0.7950641522261358
5,2,0.008,ggmixFPR,0.777877006460377
5,2,0.009,pglmmFPR,0.7996318198649182
5,2,0.009,glmnetFPR,0.7928992649008046
5,2,0.009,glmnetPCFPR,0.7963234478782384
5,2,0.009,ggmixFPR,0.779295426927236
5,2,0.01,pglmmFPR,0.8003271737249219
5,2,0.01,glmnetFPR,0.7948504775747335
5,2,0.01,glmnetPCFPR,0.7969431241372941
5,2,0.01,ggmixFPR,0.7806034781413692
5,3,0.0,pglmmFPR,0.8279312631814131
5,3,0.0,glmnetFPR,0.5781323172462107
5,3,0.0,glmnetPCFPR,0.8224771159853992
5,3,0.0,ggmixFPR,0.6888035665826056
5,3,0.001,pglmmFPR,0.860044933256341
5,3,0.001,glmnetFPR,0.717381489326398
5,3,0.001,glmnetPCFPR,0.8624179424924813
5,3,0.001,ggmixFPR,0.7649298030412313
5,3,0.002,pglmmFPR,0.869453981051355
5,3,0.002,glmnetFPR,0.7652751791759674
5,3,0.002,glmnetPCFPR,0.8740344865023296
5,3,0.002,ggmixFPR,0.7828100614319022
5,3,0.003,pglmmFPR,0.8739284499398104
5,3,0.003,glmnetFPR,0.7857217706982069
5,3,0.003,glmnetPCFPR,0.8787774711698596
5,3,0.003,ggmixFPR,0.790397136148163
5,3,0.004,pglmmFPR,0.8763010075897658
5,3,0.004,glmnetFPR,0.8005650458261148
5,3,0.004,glmnetPCFPR,0.8819311073611729
5,3,0.004,ggmixFPR,0.7954299625476868
5,3,0.005,pglmmFPR,0.8782720964580433
