K,scenario,fpr,method,mean
5,3,0.0,pglmmFPR,0.9427272483096083
5,3,0.0,glmnetFPR,0.9930822709844871
5,3,0.0,glmnetPCFPR,0.9367855224245824
5,3,0.0,ggmixFPR,1.010512533396581
5,3,0.001,pglmmFPR,0.884685799976257
5,3,0.001,glmnetFPR,0.982484084214946
5,3,0.001,glmnetPCFPR,0.87143057227879
5,3,0.001,ggmixFPR,1.0203236069204096
5,3,0.002,pglmmFPR,0.860078362299241
5,3,0.002,glmnetFPR,0.9705453718405775
5,3,0.002,glmnetPCFPR,0.8411571974796205
5,3,0.002,ggmixFPR,1.0239417817815704
5,3,0.003,pglmmFPR,0.8449186576283262
5,3,0.003,glmnetFPR,0.9574196655803661
5,3,0.003,glmnetPCFPR,0.8247627328785189
5,3,0.003,ggmixFPR,1.025834190254193
5,3,0.004,pglmmFPR,0.8346053615372382
5,3,0.004,glmnetFPR,0.9460830216359715
5,3,0.004,glmnetPCFPR,0.8117270398689574
5,3,0.004,ggmixFPR,1.027255737195036
5,3,0.005,pglmmFPR,0.8250306656296617
5,3,0.005,glmnetFPR,0.9344629222335122
5,3,0.005,glmnetPCFPR,0.8029102147447343
5,3,0.005,ggmixFPR,1.0285519991302166
5,3,0.006,pglmmFPR,0.8184370714709498
5,3,0.006,glmnetFPR,0.9240024092671696
5,3,0.006,glmnetPCFPR,0.7940753568539219
5,3,0.006,ggmixFPR,1.029215331842913
5,3,0.007,pglmmFPR,0.8107829783781889
5,3,0.007,glmnetFPR,0.9114076653968758
5,3,0.007,glmnetPCFPR,0.7864826609367338
5,3,0.007,ggmixFPR,1.0302282729617744
5,3,0.008,pglmmFPR,0.803065900256852
5,3,0.008,glmnetFPR,0.9010382974259477
5,3,0.008,glmnetPCFPR,0.7808546221996945
5,3,0.008,ggmixFPR,1.0308236023792112
5,3,0.009,pglmmFPR,0.7989468701697047
5,3,0.009,glmnetFPR,0.8915430165720538
5,3,0.009,glmnetPCFPR,0.7749010664104226
5,3,0.009,ggmixFPR,1.0316862225565218
5,3,0.01,pglmmFPR,0.7929013823731351
5,3,0.01,glmnetFPR,0.8817503819171033
5,3,0.01,glmnetPCFPR,0.7689806311686216
5,3,0.01,ggmixFPR,1.0322540442323542
