K,scenario,fpr,method,mean
5,2,0.0,glmnetFPR,75.31007754313947
5,2,0.0,glmnetPCFPR,72.88062966003264
5,2,0.0,ggmixFPR,78.5507197531768
5,2,0.001,pglmmFPR,68.07703176618236
5,2,0.001,glmnetFPR,72.54926175562662
5,2,0.001,glmnetPCFPR,68.26638730042235
5,2,0.001,ggmixFPR,79.30946169839741
5,2,0.002,pglmmFPR,66.4122459157925
5,2,0.002,glmnetFPR,70.62663621818818
5,2,0.002,glmnetPCFPR,66.67496570676738
5,2,0.002,ggmixFPR,79.62331489690683
5,2,0.003,pglmmFPR,65.56856699022875
5,2,0.003,glmnetFPR,69.32893580770457
5,2,0.003,glmnetPCFPR,65.83187496015562
5,2,0.003,ggmixFPR,79.78732716877182
5,2,0.004,pglmmFPR,64.94301564617223
5,2,0.004,glmnetFPR,68.31037089230729
5,2,0.004,glmnetPCFPR,65.15344616701528
5,2,0.004,ggmixFPR,79.90136755200143
5,2,0.005,pglmmFPR,64.37685069414145
5,2,0.005,glmnetFPR,67.43436699380263
5,2,0.005,glmnetPCFPR,64.59517284443085
5,2,0.005,ggmixFPR,80.00068657258429
5,2,0.006,pglmmFPR,63.833044593094954
5,2,0.006,glmnetFPR,66.76189231964533
5,2,0.006,glmnetPCFPR,64.2639062331954
5,2,0.006,ggmixFPR,80.07234089754108
5,2,0.007,pglmmFPR,63.59019539754315
5,2,0.007,glmnetFPR,66.16733598349907
5,2,0.007,glmnetPCFPR,63.862084875045895
5,2,0.007,ggmixFPR,80.13248933445881
5,2,0.008,pglmmFPR,63.17936143031939
5,2,0.008,glmnetFPR,65.71195687800571
5,2,0.008,glmnetPCFPR,63.51177171639289
5,2,0.008,ggmixFPR,80.18836639680951
5,2,0.009,pglmmFPR,62.85229581224714
5,2,0.009,glmnetFPR,65.22250380097272
5,2,0.009,glmnetPCFPR,63.15498589208848
5,2,0.009,ggmixFPR,80.24996465541473
5,2,0.01,pglmmFPR,62.673338293723475
5,2,0.01,glmnetFPR,64.72602622638139
5,2,0.01,glmnetPCFPR,62.95803560963421
5,2,0.01,ggmixFPR,80.29492153382634
5,3,0.0,pglmmFPR,72.09798516719329
5,3,0.0,glmnetFPR,77.7112299416793
5,3,0.0,glmnetPCFPR,71.564592193253
5,3,0.0,ggmixFPR,79.73588189682133
5,3,0.001,pglmmFPR,66.82530304128814
5,3,0.001,glmnetFPR,76.73187825749382
5,3,0.001,glmnetPCFPR,65.60084766972193
5,3,0.001,ggmixFPR,80.69537095445486
5,3,0.002,pglmmFPR,64.7212600015716
5,3,0.002,glmnetFPR,75.54655440978375
5,3,0.002,glmnetPCFPR,63.071898050034896
5,3,0.002,ggmixFPR,81.01470950514847
5,3,0.003,pglmmFPR,63.494214357644545
5,3,0.003,glmnetFPR,74.33701383426525
5,3,0.003,glmnetPCFPR,61.783241913822685
5,3,0.003,ggmixFPR,81.17486178072781
5,3,0.004,pglmmFPR,62.67533715338513
5,3,0.004,glmnetFPR,73.2717233264249
5,3,0.004,glmnetPCFPR,60.780210423308915
5,3,0.004,ggmixFPR,81.2919811912949
5,3,0.005,pglmmFPR,61.95143020308027
5,3,0.005,glmnetFPR,72.19766781747045
5,3,0.005,glmnetPCFPR,60.1189976115752
5,3,0.005,ggmixFPR,81.39778927624656
5,3,0.006,pglmmFPR,61.4722639872599
5,3,0.006,glmnetFPR,71.22304974142102
5,3,0.006,glmnetPCFPR,59.444729250629365
5,3,0.006,ggmixFPR,81.45148251409547
5,3,0.007,pglmmFPR,60.89752154148207
5,3,0.007,glmnetFPR,70.08706278628563
5,3,0.007,glmnetPCFPR,58.92054936689214
5,3,0.007,ggmixFPR,81.53076493977987
5,3,0.008,pglmmFPR,60.35484617876231
5,3,0.008,glmnetFPR,69.18942159343567
5,3,0.008,glmnetPCFPR,58.49834925135392
5,3,0.008,ggmixFPR,81.57936683275464
5,3,0.009,pglmmFPR,60.059590797563466
5,3,0.009,glmnetFPR,68.36020130686055
5,3,0.009,glmnetPCFPR,58.092621383104216
5,3,0.009,ggmixFPR,81.64434025256972
5,3,0.01,pglmmFPR,59.62214291404519
5,3,0.01,glmnetFPR,67.50897567904737
5,3,0.01,glmnetPCFPR,57.67950966810262
5,3,0.01,ggmixFPR,81.68984214661907
